Date,Open,High,Low,Close,Adj Close,Volume
2018-01-19,79.959999,80.339996,79.830002,80.070000,79.341385,675600
2018-01-22,80.400002,80.660004,80.110001,80.629997,79.896286,812800
2018-01-23,80.690002,80.849998,79.790001,80.209999,79.480110,477100
2018-01-24,80.519997,81.320000,79.930000,81.169998,80.431381,799300
2018-01-25,81.279999,81.849998,80.849998,81.180000,80.441284,730800
2018-01-26,81.400002,81.400002,80.769997,81.360001,80.619652,502900
2018-01-29,81.360001,82.339996,81.260002,81.650002,80.907013,1568100
2018-01-30,81.489998,82.220001,81.370003,81.849998,81.105186,1486000
2018-01-31,82.050003,83.290001,80.529999,80.910004,80.173752,1800700
2018-02-01,80.309998,82.160004,80.150002,81.370003,80.629562,1277900
2018-02-02,81.040001,81.800003,80.279999,80.339996,79.608932,1496000
2018-02-05,79.589996,80.980003,77.199997,77.470001,76.765045,2095700
2018-02-06,74.910004,78.010002,72.980003,77.720001,77.012772,2973800
2018-02-07,77.519997,78.650002,77.239998,77.269997,76.566864,1454100
2018-02-08,77.169998,77.930000,74.800003,75.209999,74.525612,1653500
2018-02-09,75.220001,76.660004,73.830002,76.110001,75.417419,1677700
2018-02-12,77.050003,78.139999,77.040001,77.559998,76.854225,1139400
2018-02-13,77.379997,78.660004,77.059998,78.500000,77.785675,855200
2018-02-14,78.199997,79.860001,77.900002,79.760002,79.034218,1245900
2018-02-15,80.440002,80.680000,78.599998,80.379997,79.648567,876800
2018-02-16,79.919998,80.300003,78.860001,79.019997,78.300934,1073300
2018-02-20,78.849998,80.440002,78.550003,78.800003,78.082954,1158800
2018-02-21,79.059998,80.660004,78.839996,79.120003,78.400040,895500
2018-02-22,79.320000,79.660004,77.959999,78.199997,77.488403,490600
2018-02-23,78.660004,80.500000,78.519997,80.480003,79.747658,1438800
2018-02-26,81.080002,81.720001,80.660004,81.660004,80.916924,1130000
2018-02-27,81.739998,82.540001,81.230003,81.690002,80.946648,1047300
